"COL1A1"
"SLC16A12"
"FAM216B"
"SIX2"
"DNASE1L3"
"MLPH"
"KRT18"
"SPTLC3"
"IGF2"
"C19orf33"
"GPRC5A"
"TNFSF14"
"GADL1"
"SOCS3"
"CXCL11"
"PTGDR"
"PPM1E"
"LRG1"
"ANPEP"
"NCR3LG1"
"PAK3"
"COL19A1"
"FOXC2"
"SLC11A1"
"MYLK3"
"PPBP"
"PDLIM1"
"CSF3"
"RGS7BP"
"ACTA2"
"GIPR"
"ANKRD22"
"AZGP1"
"MT1A"
"IL4R"
"PCOLCE"
"WNT6"
"FITM1"
"LIF"
"CDH7"
"IRF7"
"MARCO"
"PLAUR"
"CEBPD"
"CPZ"
"A4GALT"
"NDUFA4L2"
"ANXA2"
"AL590483.1"
"C21orf62"
"EGR2"
"PRLHR"
"TIMP1"
"CHI3L2"
"FMOD"
"IL6"
"C5AR1"
"ADAMTS9"
"THSD4"
"TCF15"
"HDC"
"UCN2"
"STEAP4"
"DEFB1"
"SERPINA3"
"METTL7B"
"PCDHGC5"
"DGKI"
"C4B"
"PDE10A"
"RAB20"
"CDKN1A"
"IL8"
"LRRN4CL"
"S100A11"
"ATHL1"
"PLAC8"
"C1QTNF7"
"PRDM6"
"NYAP2"
"NOD2"
"TBX19"
"FAM163A"
"ADAMTSL4"
"CLIC1"
"GIPC3"
"PCLO"
"ARHGAP20"
"GGT5"
"HK3"
"MYBL2"
"CYP21A2"
"APOL1"
"SLC13A4"
"KLF2"
"E2F2"
"SERHL2"
"AC018445.1"
"EGFLAM"
"PLEKHG2"
"FLJ20373"
"GCSAML"
"CLDN5"
"BATF"
"IL15RA"
"XKR9"
"ANGPTL4"
"SH2D3A"
"GADD45B"
"CD7"
"RUNX1"
"ALOX15B"
"SLC47A2"
"NAGS"
"GTSF1"
"HSPA6"
"SLC22A31"
"FAT2"
"RHBG"
"GABRA6"
"LHX1"
"HSPA1A"
"SERPINH1"
"HSPA1B"
"G0S2"
"HSPB1"
"DNAJB1"
"SIX1"
"S100A12"
"CDC42BPG"
"PNMA6A"
"KCNE4"
"OGN"
"NPC1L1"
"NANOS2"
"BAG3"
"CBLN1"
"DSP"
"FAM167B"
"RRAD"
"C7orf61"
"PCK1"
"HTR2C"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"STC1"
"FAM183A"
"SCARA5"
"LINGO4"
"PAX3"
"TMEM30B"
"MLKL"
"TBX15"
"C4orf22"
"MAFF"
"IL1R2"
"AC002472.13"
"PLEKHG4B"
"SCT"
"FAM65C"
"FCGR2B"
"CRH"
"FER1L6"
"ANGPT2"
"GJB2"
"HP"
"KLHL6"
"IFNA2"
"MIA"
"C11orf88"
"C9orf171"
"RORC"
"S100A8"
"NUPR1"
"LCN10"
"CXCR4"
"MEF2B"
"EN2"
"PLA1A"
"CCL2"
"GAS1"
"DDIT4"
"C10orf85"
"MS4A6A"
"C6orf141"
"ADM"
"LBX2"
"WISP1"
"FOXD2"
"SLCO4A1"
"PCP2"
"SMTN"
"ANKRD66"
"ADRA2B"
"TNFRSF11B"
"SAMD11"
"HSPB9"
"CTA-299D3.8"
"ADGB"
"MT1F"
"UBE2C"
"MRAP"
"CLDN7"
"FREM3"
"TAC1"
"OSTN"
"PLEKHM3"
"ADH1B"
"EPHA2"
"SERPINA5"
"NFKB2"
"ITGA10"
"TRIP10"
"GABRE"
"FOXJ1"
"RHBDF2"
"PARVG"
"TCAP"
"TNFRSF12A"
"AL031663.2"
"CELSR1"
"ADAM33"
"GPRIN2"
"CCDC102A"
"DOK2"
"EVC2"
"S100A4"
"C22orf34"
"CD36"
"CSF1"
"TBX6"
"PKIB"
"SLC1A5"
"LDHC"
"GRIN2B"
"CXCR2"
"HEYL"
"BPI"
"LYVE1"
"BCL2A1"
"SHISA8"
"LTBR"
"LRRC25"
"C19orf21"
"CD163"
"CDK2"
"ICAM1"
"TPSD1"
"MRC1L1"
"TNFAIP3"
"TLR2"
"WNT1"
"MTHFD2"
"DNAJB7"
"CCDC67"
"CTC-236F12.4"
"DOC2B"
"TRPM3"
"NUTM2A"
"TMEM31"
"PERP"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
