"CD163"
"HSPA6"
"BARHL2"
"RHBG"
"GABRA6"
"HSPA1A"
"EOMES"
"CRTAM"
"SLPI"
"PENK"
"HSPB1"
"BMP5"
"DNAJB1"
"S100A12"
"DNASE1L3"
"NRK"
"CDC42BPG"
"KCNE4"
"UPK1B"
"SLC22A2"
"CBLN3"
"NPC1L1"
"DAO"
"NANOS2"
"CBLN1"
"FAM167B"
"C7orf61"
"PCK1"
"SLC16A12"
"GPRC5A"
"SLC1A7"
"TNFRSF10D"
"STC1"
"SCARA5"
"LINGO4"
"PAX3"
"MLKL"
"TNFSF14"
"GRM4"
"MAFF"
"IL1R2"
"SCT"
"CRABP1"
"ANGPT2"
"KLHL6"
"IFNA2"
"MIA"
"C11orf88"
"C9orf171"
"RORC"
"S100A8"
"NUPR1"
"MEF2B"
"EN2"
"PLA1A"
"GPR149"
"GAS1"
"DDIT4"
"C10orf85"
"MS4A6A"
"CXCL11"
"ADM"
"LBX2"
"SMTN"
"ADRA2B"
"LRG1"
"SAMD11"
"HSPB9"
"SLC7A9"
"CNTNAP5"
"MRAP"
"NPAS4"
"COL13A1"
"OSTN"
"FCGR3B"
"SERPINA5"
"NFKB2"
"MPZL2"
"RHBDF2"
"OTOS"
"PARVG"
"TCAP"
"TNFRSF12A"
"AL031663.2"
"CELSR1"
"AL035588.1"
"CCDC102A"
"EVC2"
"S100A4"
"C22orf34"
"COL19A1"
"CD36"
"CSF1"
"TBX6"
"PKIB"
"CD37"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"OR7C1"
"SIGLEC8"
"TRIM72"
"SRPX2"
"MYLK3"
"TMC8"
"LCN6"
"CSF3"
"ATAD3C"
"TMEM150B"
"CD180"
"NFE2"
"CALB1"
"SYTL4"
"ACTA2"
"GIPR"
"AZGP1"
"FCGR2A"
"IL4R"
"SPINK8"
"HMOX1"
"HIC1"
"SH3TC1"
"GPSM3"
"FITM1"
"CLEC4E"
"LIF"
"CNPY1"
"PPP1R17"
"ATOH8"
"MT2A"
"STAB1"
"FCGBP"
"BNIPL"
"KLK14"
"AC145676.2"
"IRF7"
"NUP210L"
"IL2RG"
"FXYD5"
"PLOD3"
"PLAUR"
"RP11-422N16.3"
"LILRB1"
"FOSL1"
"SERPINC1"
"DYDC2"
"C1QC"
"C1QB"
"FSTL5"
"MCHR2"
"SNTN"
"NCF4"
"CAMK4"
"FGF5"
"LTA"
"RASAL3"
"IL32"
"DSG3"
"TAL1"
"TUBAL3"
"CLDN15"
"MS4A14"
"TCIRG1"
"MYO1F"
"BNC2"
"ITGA5"
"CRYAB"
"RAX2"
"TGFB3"
"TFAP2C"
"CXCL1"
"EBI3"
"TLL1"
"AL590483.1"
"GAD2"
"GABRG3"
"C21orf62"
"MKNK2"
"CXCR1"
"C3"
"LAT2"
"MME"
"ARHGEF5"
"PTGER3"
"RUNX3"
"S100A9"
"CASP1"
"NEUROD1"
"CARD9"
"LRRC32"
"CPAMD8"
"PRLHR"
"TOR4A"
"SLC25A48"
"ELF4"
"ITGB2"
"HCLS1"
"RNASE3"
"PIK3R5"
"TNFRSF10A"
"VNN2"
"CYBA"
"SPHKAP"
"NPBWR1"
"PRRX2"
"CP"
"NPW"
"KLF15"
"TYROBP"
"FOS"
"STC2"
"SCIN"
"ADAMTS9"
"LAIR1"
"FERMT3"
"LGALS9"
"RAB3IL1"
"LSMEM2"
"SIPA1"
"CLDN9"
"KIAA1456"
"PRKX"
"CERKL"
"MID1IP1"
"FOXF1"
"AC020907.1"
"GDPD3"
"LRRC3DN"
"KIF1C"
"OR3A3"
"GPR97"
"GYPC"
"ID3"
"SERPINA3"
"RCAN3"
"NPFF"
"AC139100.2"
"NCF1"
"UBQLNL"
"METTL7B"
"HTR4"
"CHML"
"LILRA5"
"OTOGL"
"TENM1"
"AQP1"
"SLC32A1"
"FXYD3"
"CLVS2"
"LIPJ"
"SLC22A31"
"CDH15"
"FAT2"
"C16orf11"
"LHX1"
"CD177"
"FAM216B"
"SERPINH1"
"HSPA1B"
"G0S2"
"GALNT5"
"SIX1"
"SIX2"
"MLPH"
"KRT18"
"PNMA6A"
"OGN"
"CDKL5"
"SPTLC3"
"BAG3"
"IGF2"
"CCDC144A"
"DSP"
"RRAD"
"C19orf33"
"HTR2C"
"SLC5A7"
"STRA6"
"GPR4"
"FAM183A"
"RGS8"
"MMP9"
"HS6ST3"
"TMEM30B"
"C4orf22"
"FRRS1L"
"AC002472.13"
"PLEKHG4B"
"FCGR2B"
"CRH"
"FER1L6"
"GJB2"
"HP"
"SLC22A8"
"SOCS3"
"LCN10"
"CXCR4"
"SLC47A1"
"GDF15"
"CCL2"
"FAM92B"
"C6orf141"
"ANKRD34B"
"WISP1"
"PTGDR"
"FOXD2"
"SLCO4A1"
"C18orf42"
"PCP2"
"PPM1E"
"SLC35D3"
"ANKRD66"
"TNFRSF11B"
"MAP1LC3C"
"HTRA3"
"NLRP4"
"CTA-299D3.8"
"ADGB"
"MT1F"
"ANPEP"
"C4orf50"
"UBE2C"
"MDFI"
"CLDN7"
"NCR3LG1"
"TAC1"
"PLEKHM3"
"ADH1B"
"EPHA2"
"ITGA10"
"PAK3"
"SCN8A"
"KLHL14"
"ADAMTS5"
"NXPH2"
"TRIP10"
"GABRE"
"FOXJ1"
"NLRP6"
"ADAM33"
"GPRIN2"
"HLA-DRB5"
"AKAP5"
"PLCXD2"
"FOXC2"
"UPK1A"
"KRT19"
"PPBP"
"C2CD4B"
"CLEC2B"
"ADCYAP1"
"HIF3A"
"RGS7BP"
"GRM5"
"MMRN1"
"GJA4"
"ANKRD22"
"MT1A"
"ETV4"
"ECEL1"
"S100P"
"CCDC33"
"WNT6"
"CYP1B1"
"TLR5"
"IL18"
"DLEU2L"
"TMEM92"
"PLIN4"
"DRD3"
"MT1G"
"SPR"
"SLC9A7"
"ANKUB1"
"MT-ND6"
"CXCL6"
"DCC"
"PEAR1"
"KRT5"
"STAC"
"PPEF1"
"CDH7"
"OR7A5"
"SYNDIG1L"
"MAB21L1"
"C7orf57"
"SLC52A3"
"PCSK9"
"SLC7A14"
"IL1RN"
"SPAG6"
"COL6A2"
"C9orf152"
"C3AR1"
"MMP19"
"SLC6A12"
"PCDHAC2"
"GEM"
"CEBPD"
"EMP3"
"CPZ"
"RBBP8NL"
"A4GALT"
"AL138781.1"
"NDUFA4L2"
"HTR2A"
"SST"
"MTX3"
"VSIG4"
"ANXA2"
"TNFRSF1B"
"PCSK1"
"HIGD1B"
"C5orf48"
"GAREML"
"TEAD2"
"GLI1"
"DDIT4L"
"FLT3"
"RAB3B"
"YBX3"
"PCDHAC1"
"KIAA0408"
"HSD11B2"
"CHRNA3"
"ARHGEF19"
"TLR8"
"PNOC"
"RPE65"
"MT1M"
"TIMP1"
"LSMEM1"
"HLA-DRB1"
"TNR"
"PGF"
"TOP2A"
"NEUROD6"
"MSX1"
"MICB"
"FMOD"
"MMP3"
"IL6"
"TCF15"
"RNF150"
"PKN3"
"ADD2"
"CYP4B1"
"RBM47"
"UCN2"
"LAT"
"RNASE6"
"LCN2"
"CSAG1"
"C20orf195"
"GPRIN3"
"HRASLS2"
"HES7"
"PRELP"
"CARD14"
"OLFML2A"
"GPER"
"PRRG4"
"PCDHGC4"
"NPIPL1"
"SIRPB2"
"GABRR2"
"TM4SF1"
"OTOG"
"CLEC18B"
"CCDC175"
"STEAP4"
"IL1RAPL2"
"CFD"
"FAM46A"
"SLC23A3"
"CD74"
"DOCK6"
"TACR1"
"RELN"
"ISYNA1"
"TP63"
"CHRNB3"
"SOWAHB"
"C4B"
"LAMB2"
"C11orf94"
"CFH"
"PPP1R18"
"PDE10A"
"NEK2"
"TREM2"
"SULT1C2"
"RELA"
"HK2"
"SYK"
"PNP"
"RCC1"
"NFAM1"
"SLFNL1"
"STXBP2"
"PLIN2"
"FZD2"
"UBASH3B"
"SPI1"
"SERPINA1"
"IGJ"
"HTR3B"
"NID1"
"DLL4"
"RNASE2"
"CXorf28"
"PODN"
"ANO2"
"IFITM1"
"MRPS6"
"SNX20"
"WDR63"
"KLHL11"
"EBF2"
"HAPLN1"
"COL2A1"
"AMY2A"
"AC104809.3"
"RGL3"
"GPR84"
"AC073343.1"
"MROH6"
"PTH1R"
"AC109583.1"
"SLC7A2"
