"HSPA6"
"BARHL2"
"CD177"
"EOMES"
"SERPINH1"
"SLPI"
"G0S2"
"HSPB1"
"DNAJB1"
"SIX2"
"DNASE1L3"
"MLPH"
"KRT18"
"OGN"
"NPC1L1"
"CDKL5"
"NANOS2"
"IGF2"
"RRAD"
"GPRC5A"
"SLC5A7"
"SLC1A7"
"TNFRSF10D"
"RIPK4"
"MMP9"
"HS6ST3"
"MLKL"
"FRRS1L"
"GRM4"
"IL1R2"
"SCT"
"CRABP1"
"HP"
"IFNA2"
"SLC22A8"
"NUPR1"
"MEF2B"
"EN2"
"SLC47A1"
"GAS1"
"CXCL11"
"WISP1"
"SLCO4A1"
"SMTN"
"TNFRSF11B"
"MAP1LC3C"
"SLC7A9"
"MT1F"
"UBE2C"
"EPHA2"
"SERPINA5"
"ITGA10"
"SCN8A"
"FOXJ1"
"TCAP"
"CELSR1"
"ADAM33"
"EVC2"
"HLA-DRB5"
"TBX6"
"PKIB"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"OR7C1"
"TMC8"
"PDLIM1"
"CSF3"
"ADCYAP1"
"TMEM150B"
"CD180"
"COL1A1"
"HIF3A"
"GRM5"
"MMRN1"
"FCGR2A"
"SPINK8"
"HMOX1"
"S100P"
"CYP1B1"
"CLEC4E"
"MT1G"
"SPR"
"ANKUB1"
"CXCL6"
"DCC"
"STAC"
"MMP23B"
"BNIPL"
"IRF7"
"MARCO"
"FXYD5"
"PLOD3"
"NPR3"
"SPAG6"
"COL6A2"
"DYDC2"
"MMP19"
"NOS3"
"SLC6A12"
"CAMK4"
"IL32"
"DSG3"
"TAL1"
"CLDN15"
"GEM"
"EMP3"
"A4GALT"
"HTR2A"
"CRYAB"
"RAX2"
"ANXA2"
"TFAP2C"
"CXCL1"
"EBI3"
"MKNK2"
"PCSK1"
"PTGER3"
"TEAD2"
"GLI1"
"RUNX3"
"YBX3"
"CASP1"
"NEUROD1"
"HSD11B2"
"CARD9"
"ARHGEF19"
"SLC25A48"
"MT1M"
"SLC22A31"
"RHBG"
"LHX1"
"KLK1"
"SLC22A2"
"SPTLC3"
"DAO"
"HTR2C"
"RGS8"
"SCARA5"
"TNFSF14"
"KLHDC7A"
"ANGPT2"
"MIA"
"C11orf88"
"GDF15"
"FOXD2"
"MAS1"
"HTRA3"
"ANPEP"
"NPAS4"
"FREM3"
"COL13A1"
"ADH1B"
"PAK3"
"ADAMTS5"
"NXPH2"
"RHBDF2"
"CD36"
"CD37"
"C1QA"
"SIGLEC8"
"CES1"
"PPBP"
"CALB1"
"GJA4"
"PCOLCE"
"WNT6"
"IL18"
"PPEF1"
"KLK14"
"SLC52A3"
"IL2RG"
"SLC7A14"
"LILRB1"
"SERPINC1"
"BDNF"
"TRPC5"
"C1QC"
"MCHR2"
"FGF5"
"TUBAL3"
"CPZ"
"SST"
"VGF"
"C3"
"FLT3"
"PCDHAC1"
"TOR4A"
"PNOC"
"ELF4"
"ITGB2"
"HCLS1"
"RNASE3"
"PIK3R5"
"TNR"
"CYBA"
"TOP2A"
"MSX1"
"MICB"
"FMOD"
"TYROBP"
"IL6"
"STC2"
"C5AR1"
"TCF15"
"LAIR1"
"FERMT3"
"LGALS9"
"SLC17A9"
"ADD2"
"UCN2"
"LAT"
"LCN2"
"SIPA1"
"HRASLS2"
"HES7"
"MID1IP1"
"PRELP"
"CARD14"
"FOXF1"
"PCDHGC4"
"GABRR2"
"STEAP4"
"ID3"
"DEFB1"
"SERPINA3"
"NPFF"
"CD74"
"DOCK6"
"CHML"
"ISYNA1"
"CHRNB3"
"CHRNA6"
"LAMB2"
"TENM1"
"CFH"
"SLC32A1"
"CLVS2"
"NEK2"
"RELA"
"HK2"
"SYK"
"PNP"
"NFAM1"
"RAB20"
"GRK7"
"KCNJ15"
"FZD2"
"SPI1"
"HTR3B"
"DLL4"
"PODN"
"ANO2"
"IFITM1"
"KLHL11"
"COL2A1"
"PTH1R"
"AK7"
"IHH"
"KCNA3"
"IRF1"
"CDKN1A"
"IFITM2"
"SLC15A3"
"LILRA2"
"FXYD2"
"FRMPD2"
"FZD9"
"TEAD4"
"SEMA3E"
"S100A11"
"MT1E"
"TRPV4"
"PLN"
"EYA2"
"DES"
"CD4"
"CLSTN2"
"SLC27A6"
