"NPAS4"
"DOK2"
"BMP5"
"FAM20A"
"C7"
"CRABP1"
"C1QA"
"CCL19"
"PDLIM1"
"ACTA2"
"COL6A2"
"CPZ"
"RBBP8NL"
"RPE65"
"C5AR1"
"THSD4"
"CHRNA6"
"PLN"
"FUT9"
"ARID5A"
"XKR7"
"TSKU"
"SLITRK6"
"HSPA6"
"SLC22A31"
"CDH15"
"FAT2"
"BARHL2"
"RHBG"
"C16orf11"
"GABRA6"
"LHX1"
"CD177"
"HSPA1A"
"EOMES"
"SERPINH1"
"CRTAM"
"SLPI"
"HSPA1B"
"G0S2"
"PENK"
"HSPB1"
"GALNT5"
"DNAJB1"
"SIX1"
"SIX2"
"S100A12"
"DNASE1L3"
"KRT18"
"NRK"
"CDC42BPG"
"PNMA6A"
"KCNE4"
"UPK1B"
"SLC22A2"
"CBLN3"
"NPC1L1"
"BAG3"
"CBLN1"
"DSP"
"FAM167B"
"C19orf33"
"C7orf61"
"PCK1"
"SLC16A12"
"HTR2C"
"GPRC5A"
"SLC5A7"
"STRA6"
"SLC1A7"
"COCH"
"GPR4"
"TNFRSF10D"
"STC1"
"SCARA5"
"MMP9"
"LINGO4"
"PAX3"
"TMEM30B"
"MLKL"
"TNFSF14"
"C4orf22"
"FRRS1L"
"GRM4"
"MAFF"
"IL1R2"
"AC002472.13"
"PLEKHG4B"
"SCT"
"CRH"
"ANGPT2"
"GJB2"
"HP"
"KLHL6"
"IFNA2"
"MIA"
"C11orf88"
"C9orf171"
"SOCS3"
"S100A8"
"NUPR1"
"LCN10"
"MEF2B"
"PLA1A"
"SLC47A1"
"GDF15"
"CCL2"
"GAS1"
"DDIT4"
"C10orf85"
"MS4A6A"
"C6orf141"
"CXCL11"
"ANKRD34B"
"ADM"
"LBX2"
"WISP1"
"PTGDR"
"SLCO4A1"
"C18orf42"
"PPM1E"
"SLC35D3"
"SMTN"
"ANKRD66"
"ADRA2B"
"TNFRSF11B"
"DUSP4"
"LRG1"
"MAP1LC3C"
"NLRP4"
"SAMD11"
"HSPB9"
"CTA-299D3.8"
"ADGB"
"MT1F"
"ANPEP"
"CNTNAP5"
"UBE2C"
"MRAP"
"CLDN7"
"FREM3"
"NCR3LG1"
"TAC1"
"COL13A1"
"OSTN"
"PLEKHM3"
"ADH1B"
"EPHA2"
"FCGR3B"
"SERPINA5"
"NFKB2"
"ITGA10"
"PAK3"
"SCN8A"
"KLHL14"
"NXPH2"
"GABRE"
"FOXJ1"
"IL17REL"
"MPZL2"
"RHBDF2"
"OTOS"
"PARVG"
"TCAP"
"TNFRSF12A"
"NLRP6"
"AL031663.2"
"CELSR1"
"AL035588.1"
"ADAM33"
"CCDC102A"
"EVC2"
"S100A4"
"HLA-DRB5"
"C22orf34"
"COL19A1"
"AKAP5"
"CD36"
"CSF1"
"TBX6"
"PKIB"
"FOXC2"
"KCNH1"
"CD37"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"OR7C1"
"SIGLEC8"
"TRIM72"
"SRPX2"
"CES1"
"MYLK3"
"TMC8"
"PPBP"
"LCN6"
"CSF3"
"ADCYAP1"
"ATAD3C"
"TMEM150B"
"CD180"
"NFE2"
"RGS7BP"
"GRM5"
"CALB1"
"MMRN1"
"GJA4"
"SYTL4"
"GIPR"
"ANKRD22"
"AZGP1"
"FCGR2A"
"IL4R"
"SPINK8"
"ETV4"
"HMOX1"
"ECEL1"
"HIC1"
"S100P"
"PCOLCE"
"SH3TC1"
"CCDC33"
"WNT6"
"VENTX"
"CYP1B1"
"GPSM3"
"FITM1"
"DLEU2L"
"CLEC4E"
"LIF"
"CNPY1"
"PLIN4"
"DRD3"
"MT1G"
"PPP1R17"
"ATOH8"
"SPR"
"ANKUB1"
"MT-ND6"
"MT2A"
"CXCL6"
"DCC"
"PEAR1"
"KRT5"
"STAC"
"SERTM1"
"STAB1"
"TRPC5"
"SEMA3F"
"CHI3L2"
"IL17RB"
"PLAC8"
"FLT3LG"
"NHSL2"
"C19orf21"
"MMEL1"
"SLC26A7"
"S1PR3"
"FGF17"
"DLEC1"
"AJUBA"
"CEBPB"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
