"CD163"
"HSPA6"
"RHBG"
"GABRA6"
"HSPA1A"
"EOMES"
"SLPI"
"PENK"
"HSPB1"
"DNAJB1"
"S100A12"
"DNASE1L3"
"CDC42BPG"
"UPK1B"
"NPC1L1"
"NANOS2"
"PCK1"
"GPRC5A"
"SLC1A7"
"TNFRSF10D"
"SCARA5"
"PAX3"
"TNFSF14"
"MAFF"
"IL1R2"
"CRABP1"
"ANGPT2"
"KLHL6"
"IFNA2"
"MIA"
"RORC"
"NUPR1"
"EN2"
"GPR149"
"GAS1"
"CXCL11"
"SMTN"
"ADRA2B"
"SLC7A9"
"MRAP"
"COL13A1"
"OSTN"
"FCGR3B"
"NFKB2"
"RHBDF2"
"PARVG"
"TNFRSF12A"
"EVC2"
"COL19A1"
"CSF1"
"PKIB"
"CD37"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"SIGLEC8"
"TRIM72"
"SRPX2"
"MYLK3"
"TMC8"
"ATAD3C"
"CD180"
"CALB1"
"SYTL4"
"GIPR"
"FCGR2A"
"SPINK8"
"HMOX1"
"FITM1"
"LIF"
"PPP1R17"
"MT2A"
"BNIPL"
"IRF7"
"FXYD5"
"PLOD3"
"PLAUR"
"FOSL1"
"DYDC2"
"C1QB"
"MCHR2"
"NCF4"
"CAMK4"
"LTA"
"IL32"
"TAL1"
"TUBAL3"
"TCIRG1"
"CRYAB"
"TGFB3"
"CXCL1"
"TLL1"
"GABRG3"
"CXCR1"
"LAT2"
"MME"
"PTGER3"
"RUNX3"
"S100A9"
"CASP1"
"CARD9"
"PRLHR"
"TOR4A"
"ELF4"
"ITGB2"
"RNASE3"
"PIK3R5"
"VNN2"
"SPHKAP"
"NPBWR1"
"CP"
"NPW"
"TYROBP"
"STC2"
"ADAMTS9"
"FERMT3"
"LGALS9"
"CLDN9"
"PRKX"
"MID1IP1"
"KIF1C"
"GYPC"
"SERPINA3"
"NPFF"
"HTR4"
"TENM1"
"AQP1"
"FXYD3"
"SLC22A31"
"FAT2"
"CD177"
"HSPA1B"
"GALNT5"
"SIX2"
"KRT18"
"CDKL5"
"SPTLC3"
"BAG3"
"IGF2"
"RRAD"
"HTR2C"
"STRA6"
"GPR4"
"MMP9"
"TMEM30B"
"FRRS1L"
"FCGR2B"
"GJB2"
"HP"
"SLC22A8"
"CXCR4"
"SLC47A1"
"GDF15"
"CCL2"
"PTGDR"
"FOXD2"
"SLCO4A1"
"PPM1E"
"TNFRSF11B"
"HTRA3"
"ADGB"
"MT1F"
"ANPEP"
"MDFI"
"CLDN7"
"TAC1"
"ADH1B"
"ITGA10"
"PAK3"
"KLHL14"
"ADAMTS5"
"TRIP10"
"FOXJ1"
"ADAM33"
"AKAP5"
"UPK1A"
"PPBP"
"C2CD4B"
"ADCYAP1"
"GRM5"
"MMRN1"
"GJA4"
"MT1A"
"ETV4"
"ECEL1"
"WNT6"
"TLR5"
"IL18"
"DRD3"
"SPR"
"SLC9A7"
"CXCL6"
"DCC"
"KRT5"
"STAC"
"CDH7"
"MAB21L1"
"SLC52A3"
"SLC7A14"
"SPAG6"
"COL6A2"
"C3AR1"
"MMP19"
"SLC6A12"
"GEM"
"CEBPD"
"CPZ"
"A4GALT"
"HTR2A"
"SST"
"TNFRSF1B"
"PCSK1"
"GLI1"
"RAB3B"
"YBX3"
"PCDHAC1"
"HSD11B2"
"CHRNA3"
"TLR8"
"PNOC"
"MT1M"
"TIMP1"
"HLA-DRB1"
"TNR"
"TOP2A"
"MSX1"
"MICB"
"FMOD"
"IL6"
"PKN3"
"ADD2"
"LAT"
"RNASE6"
"HRASLS2"
"HES7"
"PRELP"
"PCDHGC4"
"GABRR2"
"STEAP4"
"CFD"
"CD74"
"DOCK6"
"RELN"
"ISYNA1"
"CHRNB3"
"LAMB2"
"PDE10A"
"NEK2"
"SULT1C2"
"RELA"
"SYK"
"RCC1"
"STXBP2"
"FZD2"
"SPI1"
"HTR3B"
"NID1"
"RNASE2"
"PODN"
"IFITM1"
"WDR63"
"EBF2"
"COL2A1"
"AMY2A"
"PTH1R"
"SLC7A2"
"IHH"
"IRF1"
"IGFBPL1"
"SLC15A3"
"LILRA2"
"JMJD6"
"FXYD2"
"FRMPD2"
"PRSS42"
"UGT2B17"
"SOST"
