"MEF2B"
"SIX2"
"S100A12"
"FAM20A"
"SCARA5"
"MMP9"
"KLHDC7A"
"S100A8"
"CXCL11"
"ADM"
"MAP1LC3C"
"NPAS4"
"FCGR3B"
"DOK2"
"ZC3H12A"
"CSF3"
"ADCYAP1"
"SYTL4"
"AZGP1"
"CNPY1"
"SPR"
"ANKUB1"
"CDH7"
"PLAUR"
"MMP19"
"CXCL1"
"LAT2"
"S100A9"
"SEMA3F"
"FOS"
"STC2"
"ADAMTS9"
"DEFB1"
"CHML"
"RELN"
"NEK2"
"PLIN2"
"CDKN1A"
"BACE2"
"DES"
"NEK10"
"SLC13A4"
"KRT16"
"BCL2A1"
"TYRP1"
"E2F2"
"SELL"
"BMP4"
"IFITM3"
"PLOD1"
"FGF17"
"HSPA6"
"SLC22A31"
"GABRA6"
"HSPA1A"
"SERPINH1"
"HSPA1B"
"G0S2"
"DNAJB1"
"KRT18"
"NRK"
"KLK1"
"NPC1L1"
"BAG3"
"RRAD"
"HTR2C"
"STRA6"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"PAX3"
"HS6ST3"
"MLKL"
"MAFF"
"SCT"
"CRABP1"
"CRH"
"KLHL6"
"MIA"
"RORC"
"CXCR4"
"PLA1A"
"CCL2"
"GAS1"
"FOXD2"
"SLCO4A1"
"ADRA2B"
"MAS1"
"SLC7A9"
"ADGB"
"MT1F"
"ANPEP"
"CLDN7"
"FREM3"
"TAC1"
"ADH1B"
"SERPINA5"
"NFKB2"
"SCN8A"
"TRIP10"
"RHBDF2"
"PARVG"
"TNFRSF12A"
"ADAM33"
"HLA-DRB5"
"CSF1"
"TBX6"
"PKIB"
"CD37"
"OR7C1"
"SIGLEC8"
"TRIM72"
"CES1"
"TMC8"
"ATAD3C"
"TMEM150B"
"CD180"
"COL1A1"
"CALB1"
"GJA4"
"MT1A"
"SPINK8"
"HMOX1"
"ECEL1"
"PCOLCE"
"CYP1B1"
"RGS1"
