"PRSS22"
"MMP23B"
"LHX1"
"TBX15"
"CRABP1"
"C1QA"
"PDLIM1"
"COL1A1"
"ACTA2"
"CHRNA6"
"LAMB2"
"CASP7"
"PLN"
"ZNF804B"
"FUT9"
"CD33"
"AC026310.1"
"CLEC4F"
"GCSAML"
"CTC-236F12.4"
"NOMO3"
"HSPA6"
"SLC22A31"
"CDH15"
"BARHL2"
"RHBG"
"CD177"
"HSPA1A"
"EOMES"
"SERPINH1"
"SLPI"
"HSPA1B"
"G0S2"
"PENK"
"HSPB1"
"BMP5"
"DNAJB1"
"SIX1"
"SIX2"
"S100A12"
"DNASE1L3"
"NRK"
"CDC42BPG"
"PNMA6A"
"KCNE4"
"OGN"
"UPK1B"
"SLC22A2"
"CBLN3"
"NPC1L1"
"CDKL5"
"SPTLC3"
"NANOS2"
"BAG3"
"CBLN1"
"IGF2"
"CCDC144A"
"DSP"
"FAM167B"
"RRAD"
"C19orf33"
"C7orf61"
"PCK1"
"SLC16A12"
"GPRC5A"
"STRA6"
"SLC1A7"
"TNFRSF10D"
"STC1"
"FAM183A"
"RIPK4"
"SCARA5"
"PAX3"
"TMEM30B"
"MLKL"
"TNFSF14"
"C4orf22"
"GRM4"
"MAFF"
"IL1R2"
"PLEKHG4B"
"SCT"
"FCGR2B"
"CRH"
"ANGPT2"
"GJB2"
"HP"
"KLHL6"
"IFNA2"
"MIA"
"SLC22A8"
"C11orf88"
"C9orf171"
"RORC"
"SOCS3"
"S100A8"
"NUPR1"
"LCN10"
"CXCR4"
"MEF2B"
"PLA1A"
"SLC47A1"
"GDF15"
"CCL2"
"GPR149"
"GAS1"
"FAM92B"
"DDIT4"
"C10orf85"
"MS4A6A"
"C6orf141"
"CXCL11"
"ANKRD34B"
"ADM"
"LBX2"
"WISP1"
"PTGDR"
"FOXD2"
"SLCO4A1"
"C18orf42"
"SMTN"
"ANKRD66"
"ADRA2B"
"LRG1"
"MAP1LC3C"
"HTRA3"
"NLRP4"
"SAMD11"
"HSPB9"
"CTA-299D3.8"
"SLC7A9"
"ADGB"
"MT1F"
"ANPEP"
"CNTNAP5"
"UBE2C"
"MDFI"
"CLDN7"
"FREM3"
"TAC1"
"COL13A1"
"OSTN"
"PLEKHM3"
"ADH1B"
"FCGR3B"
"SERPINA5"
"NFKB2"
"ITGA10"
"PAK3"
"KLHL14"
"FOXJ1"
"MPZL2"
"RHBDF2"
"OTOS"
"PARVG"
"TCAP"
"TNFRSF12A"
"NLRP6"
"AL031663.2"
"CELSR1"
"AL035588.1"
"GPRIN2"
"CCDC102A"
"EVC2"
"S100A4"
"HLA-DRB5"
"C22orf34"
"CSF1"
"TBX6"
"PKIB"
"FOXC2"
"CD37"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"OR7C1"
"SIGLEC8"
"TRIM72"
"UPK1A"
"SRPX2"
"CCL19"
"CES1"
"MYLK3"
"TMC8"
"KRT19"
"PPBP"
"LCN6"
"CSF3"
"CLEC2B"
"ATAD3C"
"TMEM150B"
"CD180"
"NFE2"
"RGS7BP"
"CALB1"
"GJA4"
"SYTL4"
"AZGP1"
"FCGR2A"
"IL4R"
"SPINK8"
"ETV4"
"HMOX1"
"HIC1"
"S100P"
"SH3TC1"
"CCDC33"
"WNT6"
"CYP1B1"
"GPSM3"
"FITM1"
"TLR5"
"TMEM92"
"CLEC4E"
"LIF"
"CNPY1"
"PLIN4"
"DRD3"
"MT1G"
"PPP1R17"
"ATOH8"
"SPR"
"ANKUB1"
"MT-ND6"
"MT2A"
"CXCL6"
"DCC"
"PEAR1"
"KRT5"
"STAC"
"SERTM1"
"STAB1"
"PPEF1"
"CDH7"
"FCGBP"
"BNIPL"
"KLK14"
"AC145676.2"
"OR7A5"
"IRF7"
"SYNDIG1L"
"MARCO"
"C7orf57"
"SLC52A3"
"NUP210L"
"SLC17A9"
"FOXC1"
"LRRN4CL"
"DES"
"C1QTNF7"
"SCAI"
"CLDN3"
"GIPC3"
"PDZK1IP1"
"GGT5"
"ZGLP1"
"FAM110D"
"KANK2"
"CSF1R"
"KIAA1024"
"SLN"
"RCVRN"
"E2F2"
"TCF7L1"
"SERPINE1"
"KCNQ1"
"PCDHA5"
"FAM177B"
"SLC26A5"
"SYN3"
"FLT4"
"TSKU"
"ITGAM"
"DNAJB7"
"LPIN3"
"TRPM3"
"PPP1R3G"
"SOWAHD"
"GTSF1"
"VIM"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
