"EGR4"
"FAT2"
"EOMES"
"PENK"
"BMP5"
"KRT18"
"DAO"
"FAM20A"
"STRA6"
"MMP9"
"LINGO4"
"C7"
"RORC"
"EN2"
"PPM1E"
"TNFRSF11B"
"HTRA3"
"UBE2C"
"COL13A1"
"ADH1B"
"ITGA10"
"SCN8A"
"TRIP10"
"NLRP6"
"ADAM33"
"PKIB"
"FOXC2"
"CCL19"
"PDLIM1"
"COL1A1"
"ACTA2"
"MT1A"
"WNT6"
"CYP1B1"
"PPP1R17"
"CXCL6"
"PEAR1"
"STAC"
"CDH7"
"MAB21L1"
"MARCO"
"SLC52A3"
"IL1RN"
"FGF5"
"NEUROD1"
"ARHGEF19"
"TLR8"
"SHC3"
"TOP2A"
"FMOD"
"MMP3"
"C5AR1"
"SLC17A9"
"LCN2"
"MID1IP1"
"BCL3"
"CFD"
"RCAN3"
"DOCK6"
"LAMB2"
"CFH"
"CLVS2"
"GRK7"
"NID1"
"ANO2"
"MRPS6"
"WDR63"
"CASP7"
"DES"
"PLAC8"
"GFAP"
"COL1A2"
"LGR6"
"FOLR2"
"ITGA4"
"SHISA8"
"CFB"
"GPX8"
"E2F2"
"LAMP3"
"PLEKHG2"
"GREB1L"
"AEBP1"
"KCNQ1"
"STARD8"
"SH2D3A"
"ALOX15B"
"SLITRK6"
"AJUBA"
"MEOX2"
"CEBPB"
"HGF"
"HSPA6"
"RHBG"
"CD177"
"HSPA1A"
"SLPI"
"HSPB1"
"DNAJB1"
"S100A12"
"CDC42BPG"
"SLC22A2"
"BAG3"
"HTR2C"
"SLC5A7"
"TNFRSF10D"
"SCARA5"
"PAX3"
"MLKL"
"TNFSF14"
"GRM4"
"IL1R2"
"SCT"
"ANGPT2"
"KLHL6"
"MIA"
"C11orf88"
"S100A8"
"MEF2B"
"PLA1A"
"GAS1"
"DDIT4"
"ADM"
"SMTN"
"DUSP4"
