"MMP23B"
"LHX1"
"C1QA"
"PDLIM1"
"ACTA2"
"LAMB2"
"PLN"
"CD33"
"HSPA6"
"SLC22A31"
"BARHL2"
"RHBG"
"HSPA1A"
"SERPINH1"
"HSPA1B"
"PENK"
"BMP5"
"SIX1"
"S100A12"
"DNASE1L3"
"NRK"
"CDC42BPG"
"UPK1B"
"SLC22A2"
"NPC1L1"
"CDKL5"
"SPTLC3"
"NANOS2"
"CBLN1"
"DSP"
"PCK1"
"GPRC5A"
"STRA6"
"SLC1A7"
"TNFRSF10D"
"STC1"
"SCARA5"
"TMEM30B"
"MLKL"
"TNFSF14"
"GRM4"
"MAFF"
"SCT"
"CRH"
"ANGPT2"
"HP"
"IFNA2"
"MIA"
"C11orf88"
"RORC"
"S100A8"
"CXCR4"
"MEF2B"
"SLC47A1"
"GDF15"
"GPR149"
"GAS1"
"CXCL11"
"WISP1"
"FOXD2"
"SLCO4A1"
"SMTN"
"LRG1"
"HTRA3"
"SLC7A9"
"ADGB"
"ANPEP"
"MDFI"
"FREM3"
"TAC1"
"OSTN"
"FCGR3B"
"NFKB2"
"PAK3"
"KLHL14"
"FOXJ1"
"MPZL2"
"RHBDF2"
"TCAP"
"NLRP6"
"CELSR1"
"S100A4"
"HLA-DRB5"
"TBX6"
"FOXC2"
"CD37"
"ZC3H12A"
"OR7C1"
"SIGLEC8"
"UPK1A"
"CCL19"
"CES1"
"TMC8"
"PPBP"
"CSF3"
"ATAD3C"
"TMEM150B"
"CD180"
"CALB1"
"SYTL4"
"AZGP1"
"IL4R"
"SPINK8"
"ETV4"
"HMOX1"
"S100P"
"CYP1B1"
"FITM1"
"CLEC4E"
"CNPY1"
"DRD3"
"MT1G"
"PPP1R17"
"ATOH8"
"ANKUB1"
"CXCL6"
"DCC"
"PEAR1"
"STAC"
"STAB1"
"CDH7"
"KLK14"
"IRF7"
"SLC52A3"
"FOXC1"
"SCAI"
"GGT5"
"KANK2"
"CSF1R"
"SLN"
"RCVRN"
"TCF7L1"
"KCNQ1"
"PCDHA5"
"SLC26A5"
"FLT4"
"TSKU"
"LPIN3"
"VIM"
