"NPAS4"
"BMP5"
"FAM20A"
"C7"
"C1QA"
"PDLIM1"
"ACTA2"
"COL6A2"
"RPE65"
"C5AR1"
"PLN"
"ARID5A"
"TSKU"
"SLITRK6"
"HSPA6"
"SLC22A31"
"FAT2"
"RHBG"
"GABRA6"
"CD177"
"EOMES"
"CRTAM"
"HSPA1B"
"PENK"
"HSPB1"
"DNAJB1"
"SIX1"
"SIX2"
"DNASE1L3"
"KRT18"
"NRK"
"UPK1B"
"NPC1L1"
"CBLN1"
"DSP"
"SLC16A12"
"HTR2C"
"GPRC5A"
"STRA6"
"COCH"
"GPR4"
"STC1"
"SCARA5"
"LINGO4"
"TMEM30B"
"MLKL"
"FRRS1L"
"MAFF"
"SCT"
"CRH"
"GJB2"
"HP"
"KLHL6"
"MIA"
"SOCS3"
"S100A8"
"MEF2B"
"PLA1A"
"SLC47A1"
"CCL2"
"GAS1"
"CXCL11"
"ADM"
"WISP1"
"SLCO4A1"
"PPM1E"
"SLC35D3"
"SMTN"
"TNFRSF11B"
"LRG1"
"NLRP4"
"ADGB"
"MT1F"
"ANPEP"
"MRAP"
"CLDN7"
"FREM3"
"TAC1"
"COL13A1"
"ADH1B"
"FCGR3B"
"SERPINA5"
"ITGA10"
"PAK3"
"SCN8A"
"KLHL14"
"GABRE"
"FOXJ1"
"RHBDF2"
"TCAP"
"TNFRSF12A"
"NLRP6"
"ADAM33"
"EVC2"
"S100A4"
"HLA-DRB5"
"AKAP5"
"CSF1"
"PKIB"
"KCNH1"
"SERPINF2"
"SLC11A1"
"OR7C1"
"SIGLEC8"
"SRPX2"
"MYLK3"
"PPBP"
"ADCYAP1"
"TMEM150B"
"NFE2"
"GRM5"
"MMRN1"
"SYTL4"
"AZGP1"
"IL4R"
"ETV4"
"HMOX1"
"HIC1"
"S100P"
"WNT6"
"VENTX"
"FITM1"
"CLEC4E"
"LIF"
"DRD3"
"MT1G"
"PPP1R17"
"SPR"
"ANKUB1"
"MT2A"
"CXCL6"
"PEAR1"
"STAC"
"TRPC5"
"SEMA3F"
"IL17RB"
"PLAC8"
"FLT3LG"
"SLC26A7"
"S1PR3"
"AJUBA"
