"PNMA6A"
"HSPA6"
"FAT2"
"BARHL2"
"C16orf11"
"GABRA6"
"CD177"
"HSPA1A"
"EOMES"
"FAM216B"
"SERPINH1"
"SLPI"
"HSPA1B"
"G0S2"
"HSPB1"
"DNAJB1"
"SIX2"
"S100A12"
"DNASE1L3"
"MLPH"
"KRT18"
"CDC42BPG"
"KCNE4"
"OGN"
"CBLN3"
"NPC1L1"
"CDKL5"
"FAM20A"
"NANOS2"
"BAG3"
"IGF2"
"DSP"
"FAM167B"
"RRAD"
"C19orf33"
"C7orf61"
"PCK1"
"GPRC5A"
"SLC5A7"
"STRA6"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"STC1"
"FAM183A"
"RIPK4"
"MMP9"
"LINGO4"
"HS6ST3"
"TMEM30B"
"MLKL"
"TBX15"
"C4orf22"
"FRRS1L"
"GRM4"
"MAFF"
"IL1R2"
"AC002472.13"
"GADL1"
"PLEKHG4B"
"SCT"
"FAM65C"
"FCGR2B"
"CRABP1"
"HP"
"KLHL6"
"IFNA2"
"SLC22A8"
"C9orf171"
"SOCS3"
"NUPR1"
"LCN10"
"CXCR4"
"MEF2B"
"EN2"
"PLA1A"
"SLC47A1"
"CCL2"
"GAS1"
"DDIT4"
"C10orf85"
"MS4A6A"
"CXCL11"
"ADM"
"LBX2"
"WISP1"
"SLCO4A1"
"SV2C"
"SMTN"
"ANKRD66"
"ADRA2B"
"TNFRSF11B"
"MAP1LC3C"
"NLRP4"
"SAMD11"
"HSPB9"
"CTA-299D3.8"
"SLC7A9"
"MT1F"
"CNTNAP5"
"C4orf50"
"UBE2C"
"MRAP"
"EPHA2"
"SERPINA5"
"NFKB2"
"ITGA10"
"SCN8A"
"TRIP10"
"FOXJ1"
"OTOS"
"TCAP"
"TNFRSF12A"
"AL031663.2"
"CELSR1"
"ADAM33"
"CCDC102A"
"DOK2"
"EVC2"
"S100A4"
"HLA-DRB5"
"C22orf34"
"CSF1"
"TBX6"
"PKIB"
"SERPINF2"
"ZC3H12A"
"SLC11A1"
"OR7C1"
"CCL19"
"TMC8"
"KRT19"
"PDLIM1"
"C2CD4B"
"CSF3"
"CLEC2B"
"ADCYAP1"
"TMEM150B"
"CD180"
"COL1A1"
"HIF3A"
"GRM5"
"MMRN1"
"MT1A"
"FCGR2A"
"IL4R"
"SPINK8"
"ETV4"
"HMOX1"
"HIC1"
"S100P"
"SH3TC1"
"CCDC33"
"CYP1B1"
"GPSM3"
"TMEM92"
"CASP4"
"CLEC4E"
"LIF"
"PLIN4"
"MT1G"
"ATOH8"
"SPR"
"SLC9A7"
"ANKUB1"
"MT2A"
"CXCL6"
"DCC"
"PEAR1"
"STAC"
"STAB1"
"FCGBP"
"MMP23B"
"BNIPL"
"AC145676.2"
"IRF7"
"MAB21L1"
"MARCO"
"FXYD5"
"PLOD3"
"IL1RN"
"NPR3"
"FOSL1"
"SPAG6"
"SHISA3"
"COL6A2"
"C9orf152"
"DYDC2"
"MOB4"
"MMP19"
"NOS3"
"FSTL5"
"SLC6A12"
"PCDHAC2"
"CAMK4"
"LTA"
"CREG2"
"IL32"
"DSG3"
"TAL1"
"CLDN15"
"GEM"
"CEBPD"
"MS4A14"
"EMP3"
"TCIRG1"
"BNC2"
"A4GALT"
"AL138781.1"
"HTR2A"
"ITGA5"
"CRYAB"
"MTX3"
"VSIG4"
