"SIPA1"
"HSPA1A"
"SERPINH1"
"SLPI"
"G0S2"
"PENK"
"DNAJB1"
"NPC1L1"
"CDKL5"
"FAM20A"
"BAG3"
"PCK1"
"SLC1A7"
"TNFRSF10D"
"STC1"
"RIPK4"
"PAX3"
"MAFF"
"CRABP1"
"CRH"
"ANGPT2"
"KLHL6"
"SLC22A8"
"SOCS3"
"PLA1A"
"CXCL11"
"SMTN"
"ADGB"
"MT1F"
"NPAS4"
"COL13A1"
"EPHA2"
"NFKB2"
"RHBDF2"
"PARVG"
"TCAP"
"ADAM33"
"EVC2"
"HLA-DRB5"
"CSF1"
"ZC3H12A"
"C1QA"
"ADCYAP1"
"TMEM150B"
"CALB1"
"GJA4"
"MT1A"
"FCGR2A"
"IL4R"
"HMOX1"
"ECEL1"
"HIC1"
"VENTX"
"TLR5"
"CASP4"
"MT1G"
"SPR"
"SLC9A7"
"MT2A"
"PEAR1"
"STAB1"
"PPEF1"
"MMP23B"
"IRF7"
"SLC52A3"
"IL2RG"
"PLAUR"
"FOSL1"
"DYDC2"
"MMP19"
"C1QC"
"NOS3"
"CAMK4"
"RASAL3"
"DSG3"
"GEM"
"A4GALT"
"CRYAB"
"TGFB3"
"TFAP2C"
"EBI3"
"GAD2"
"MKNK2"
"PCSK1"
"PTGER3"
"TEAD2"
"FLT3"
"RUNX3"
"NEUROD1"
"CHRNA3"
"PRLHR"
"TOR4A"
"SEMA3F"
"PIK3R5"
"TNFRSF10A"
"MICB"
"KLF15"
"MMP3"
"IL6"
"FERMT3"
"HDC"
"PKN3"
"ADD2"
"CARD14"
"FOXF1"
"GABRR2"
"FGR"
"HTR4"
"DOCK6"
"CHRNA6"
"LAMB2"
"SLC32A1"
"RELA"
"PNP"
"RCC1"
"STXBP2"
"KCNJ15"
"SPI1"
"SERPINA1"
"DLL4"
"ANO2"
"MRPS6"
"GPR84"
