"C10orf85"
"NRK"
"RHBG"
"GABRA6"
"S100A12"
"CDC42BPG"
"KLK1"
"HTR2C"
"HS6ST3"
"TMEM30B"
"KLHDC7A"
"GRM4"
"ANGPT2"
"SLC22A8"
"MEF2B"
"SLC47A1"
"GDF15"
"CXCL11"
"C18orf42"
"MAS1"
"HTRA3"
"SAMD11"
"SLC7A9"
"ANPEP"
"NPAS4"
"COL13A1"
"SCN8A"
"AL035588.1"
"S100A4"
"AKAP5"
"PKIB"
"KCNH1"
"CD37"
"OR7C1"
"SIGLEC8"
"TMC8"
"C2CD4B"
"CALB1"
"SYTL4"
"ECEL1"
"S100P"
"CCDC33"
"CYP1B1"
"IL18"
"KRT5"
"IRF7"
"C7orf57"
"PCSK9"
"FXYD5"
"MCHR2"
"TUBAL3"
"MYO1F"
"NDUFA4L2"
"TGFB3"
"VGF"
"CXCL1"
"ARHGEF5"
"RAB3B"
"NPBWR1"
"TYROBP"
"COL25A1"
"RAB3IL1"
"LSMEM2"
"RNASE6"
"CLDN9"
"PRKX"
"CERKL"
"MID1IP1"
"KIF1C"
"OTOG"
"IL1RAPL2"
"ID3"
"CFD"
"NPFF"
"HTR4"
"CHML"
"OTOGL"
"C11orf94"
"NEK2"
"UBASH3B"
"WDR63"
"EBF2"
"HAPLN1"
"AC073343.1"
"EPHA5"
"FRMPD2"
"DES"
"C1orf145"
"SCAI"
"SCG2"
"FOXO4"
"ATP12A"
"SPN"
"OLFM3"
"DNASE1L2"
"TRIM55"
"PPP1R13L"
"HIST1H1C"
"WAS"
"NAPSA"
"ARL6IP4"
"SHKBP1"
"VIP"
"ZNF441"
"RAPGEF3"
"CDKN2C"
"PCDHA6"
"SLC4A10"
"CLEC4F"
"CYP24A1"
"ANKRD36C"
"TSPO"
"NFKBIA"
"CCDC177"
"XKR9"
"FGF12"
"CHRM4"
"RAB13"
"NELL1"
"GPCPD1"
"KCNH5"
"TRIM59"
"HMG20B"
"HSPA6"
"SLC22A31"
"CD177"
"HSPA1A"
"FAM216B"
"SERPINH1"
"HSPA1B"
"G0S2"
"HSPB1"
"DNAJB1"
"SIX1"
"SIX2"
"MLPH"
"KRT18"
"PNMA6A"
"KCNE4"
"OGN"
"NPC1L1"
"FAM20A"
"NANOS2"
"BAG3"
"CBLN1"
"IGF2"
"FAM167B"
"RRAD"
"C7orf61"
"PCK1"
"GPRC5A"
"STRA6"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"RIPK4"
"LINGO4"
"PAX3"
"MLKL"
"C4orf22"
"MAFF"
"IL1R2"
"AC002472.13"
"SCT"
"FAM65C"
"CRABP1"
"CRH"
"KLHL6"
"IFNA2"
"MIA"
"C9orf171"
"RORC"
"NUPR1"
"LCN10"
"CXCR4"
"EN2"
"PLA1A"
"CCL2"
"GAS1"
"DDIT4"
"MS4A6A"
"C6orf141"
"ADM"
"LBX2"
"FOXD2"
"SLCO4A1"
"PCP2"
"SMTN"
"ANKRD66"
"ADRA2B"
"TNFRSF11B"
"NLRP4"
"HSPB9"
"CTA-299D3.8"
"ADGB"
"MT1F"
"UBE2C"
"CLDN7"
"FREM3"
"TAC1"
"ADH1B"
"EPHA2"
"SERPINA5"
"NFKB2"
"ITGA10"
"TRIP10"
"FOXJ1"
"RHBDF2"
"PARVG"
"TCAP"
"TNFRSF12A"
"AL031663.2"
"CELSR1"
"ADAM33"
"GPRIN2"
"CCDC102A"
"DOK2"
"EVC2"
"C22orf34"
"CSF1"
"TBX6"
"SERPINF2"
"C1QA"
"AZGP1"
"PLAUR"
"S100A9"
"HLA-DRB1"
"GYPC"
"AMY2A"
"IL8"
"HLA-DRA"
"PLAC8"
"PRICKLE3"
"IRF8"
"GAGE10"
"PRDM6"
"CEL"
"GSDMD"
"LINC00862"
"TMEM119"
"SLC2A5"
"PTAFR"
"NMU"
"AL161645.2"
"TGIF1"
"CBLN4"
"FOXA3"
"APOBR"
"REP15"
"LAPTM5"
"SIX5"
"RGS4"
"SLC26A6"
"DTHD1"
"SLC4A8"
"RP11-59H1.3"
"CD86"
"INPP5D"
"ITPKB"
"COL1A2"
"CHGB"
"TGFB1"
"CLIC1"
"TNFRSF1A"
"PXDC1"
"SASH3"
"RP11-115C10.1"
"GIPC3"
"SLC43A3"
"MB21D1"
"IKZF1"
"PROSER2"
"TMEM176A"
"RP11-514O12.4"
"ZNF860"
"OSGIN1"
"VAMP8"
