"MEF2B"
"CXCR1"
"SIX2"
"S100A12"
"MLPH"
"FAM20A"
"STC1"
"SCARA5"
"MMP9"
"KLHDC7A"
"IL1R2"
"S100A8"
"MS4A6A"
"CXCL11"
"ADM"
"PTGDR"
"SV2C"
"MAP1LC3C"
"MRAP"
"NPAS4"
"OSTN"
"FCGR3B"
"GPRIN2"
"DOK2"
"S100A4"
"ZC3H12A"
"C2CD4B"
"CSF3"
"CLEC2B"
"ADCYAP1"
"SYTL4"
"AZGP1"
"CLEC4E"
"CNPY1"
"SPR"
"ANKUB1"
"CDH7"
"KLK14"
"PLAUR"
"MMP19"
"IL32"
"CXCL1"
"LAT2"
"EGR2"
"S100A9"
"CPAMD8"
"SEMA3F"
"FOS"
"STC2"
"C5AR1"
"ADAMTS9"
"THSD4"
"CSAG1"
"PRKX"
"OTOG"
"DEFB1"
"CFD"
"METTL7B"
"CHML"
"LILRA5"
"RELN"
"NEK2"
"KCNJ15"
"PLIN2"
"IGJ"
"DLL4"
"CDKN1A"
"IFITM2"
"IL8"
"BACE2"
"SOST"
"DES"
"NEK10"
"CST7"
"SLC13A4"
"KRT16"
"BCL2A1"
"COX6B2"
"TYRP1"
"CIITA"
"E2F2"
"SELL"
"BMP4"
"IFITM3"
"CXorf36"
"XKR9"
"PLOD1"
"GADD45B"
"FGF17"
"TSACC"
"GPCPD1"
"HSPA6"
"SLC22A31"
"RHBG"
"GABRA6"
"CD177"
"HSPA1A"
"FAM216B"
"SERPINH1"
"HSPA1B"
"G0S2"
"HSPB1"
"DNAJB1"
"SIX1"
"KRT18"
"NRK"
"CDC42BPG"
"PNMA6A"
"KCNE4"
"KLK1"
"NPC1L1"
"NANOS2"
"BAG3"
"CBLN1"
"FAM167B"
"RRAD"
"C7orf61"
"HTR2C"
"GPRC5A"
"STRA6"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"FAM183A"
"RIPK4"
"PAX3"
"HS6ST3"
"TMEM30B"
"MLKL"
"TBX15"
"C4orf22"
"GRM4"
"MAFF"
"AC002472.13"
"SCT"
"FAM65C"
"CRABP1"
"CRH"
"ANGPT2"
"KLHL6"
"IFNA2"
"MIA"
"SLC22A8"
"C9orf171"
"RORC"
"NUPR1"
"LCN10"
"CXCR4"
"EN2"
"PLA1A"
"SLC47A1"
"CCL2"
"GAS1"
"DDIT4"
"C10orf85"
"C6orf141"
"LBX2"
"FOXD2"
"SLCO4A1"
"C18orf42"
"PCP2"
"SMTN"
"ANKRD66"
"ADRA2B"
"MAS1"
"NLRP4"
"SAMD11"
"HSPB9"
"CTA-299D3.8"
"SLC7A9"
"ADGB"
"MT1F"
"ANPEP"
"UBE2C"
"CLDN7"
"FREM3"
"TAC1"
"ADH1B"
"EPHA2"
"SERPINA5"
"NFKB2"
"ITGA10"
"SCN8A"
"TRIP10"
"FOXJ1"
"RHBDF2"
"PARVG"
"TCAP"
"TNFRSF12A"
"AL031663.2"
"CELSR1"
"AL035588.1"
"ADAM33"
"CCDC102A"
"EVC2"
"HLA-DRB5"
"C22orf34"
"CSF1"
"TBX6"
"PKIB"
"KCNH1"
"CD37"
"SERPINF2"
"OR7C1"
"C1QA"
"SIGLEC8"
"TRIM72"
"CES1"
"TMC8"
"PDLIM1"
"ATAD3C"
"TMEM150B"
"CD180"
"COL1A1"
"HIF3A"
"CALB1"
"MMRN1"
"GJA4"
"MT1A"
"FCGR2A"
"SPINK8"
"ETV4"
"HMOX1"
"ECEL1"
"HIC1"
"PCOLCE"
"SH3TC1"
"CCDC33"
"WNT6"
"CYP1B1"
"GPSM3"
"SYT10"
"ZSWIM2"
"RGS1"
"FAM177B"
"MMEL1"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
