"EGR4"
"MOB4"
"CDH15"
"FAT2"
"C16orf11"
"GABRA6"
"EOMES"
"CRTAM"
"PENK"
"BMP5"
"SIX1"
"KRT18"
"NRK"
"DAO"
"FAM20A"
"IGF2"
"CCDC144A"
"STRA6"
"FAM183A"
"RIPK4"
"MMP9"
"LINGO4"
"TBX15"
"C4orf22"
"PLEKHG4B"
"FAM65C"
"C7"
"RORC"
"EN2"
"FOXD2"
"C18orf42"
"PPM1E"
"TNFRSF11B"
"HTRA3"
"ANPEP"
"UBE2C"
"COL13A1"
"ADH1B"
"EPHA2"
"ITGA10"
"SCN8A"
"TRIP10"
"GABRE"
"NLRP6"
"ADAM33"
"GPRIN2"
"HLA-DRB5"
"PKIB"
"FOXC2"
"C1QA"
"CCL19"
"PPBP"
"PDLIM1"
"CLEC2B"
"COL1A1"
"MMRN1"
"ACTA2"
"GIPR"
"MT1A"
"ECEL1"
"WNT6"
"VENTX"
"CYP1B1"
"TLR5"
"PPP1R17"
"CXCL6"
"PEAR1"
"STAC"
"CDH7"
"MAB21L1"
"MARCO"
"SLC52A3"
"PCSK9"
"IL1RN"
"NOS3"
"FGF5"
"NDUFA4L2"
"HIGD1B"
"TEAD2"
"NEUROD1"
"CHRNA3"
"ARHGEF19"
"TLR8"
"SEMA3F"
"SHC3"
"RPE65"
"TOP2A"
"MICB"
"FMOD"
"MMP3"
"C5AR1"
"THSD4"
"SLC17A9"
"LCN2"
"C20orf195"
"MID1IP1"
"FOXC1"
"BCL3"
"OLFML2A"
"GPER"
"OTOG"
"STEAP4"
"CFD"
"RCAN3"
"NPFF"
"DOCK6"
"ISYNA1"
"LAMB2"
"CFH"
"PPP1R18"
"PDE10A"
"CLVS2"
"GRK7"
"UBASH3B"
"NID1"
"ANO2"
"MRPS6"
"WDR63"
"AC104809.3"
"AC109583.1"
"CASP7"
"LRRN4CL"
"PLN"
"DES"
"PLAC8"
"GFAP"
"C1QTNF7"
"LDHC"
"COL1A2"
"HLA-DMB"
"LGR6"
"GIPC3"
"PROSER2"
"RP11-514O12.4"
"CRYGN"
"GGT5"
"FOLR2"
"ITGA4"
"LYG1"
"BCL2A1"
"SHISA8"
"KIAA1024"
"CFB"
"GPX8"
"E2F2"
"LAMP3"
"APOA1"
"PLEKHG2"
"FLJ20373"
"GREB1L"
"AEBP1"
"KCNQ1"
"ANKRD36C"
"HLA-DQA1"
"STARD8"
"MRC1L1"
"SH2D3A"
"XKR7"
"MMEL1"
"S1PR3"
"ALOX15B"
"RAB13"
"SLITRK6"
"EIF4EBP1"
"AJUBA"
"MEOX2"
"CLEC1A"
"CEBPB"
"HGF"
"VIM"
"HSPA6"
"SLC22A31"
"RHBG"
"CD177"
"HSPA1A"
"FAM216B"
"SERPINH1"
"SLPI"
"HSPA1B"
"HSPB1"
"DNAJB1"
"SIX2"
"S100A12"
"CDC42BPG"
"KCNE4"
"UPK1B"
"SLC22A2"
"CBLN3"
"NPC1L1"
"BAG3"
"CBLN1"
"FAM167B"
"C7orf61"
"HTR2C"
"SLC5A7"
"COCH"
"TNFRSF10D"
"STC1"
"SCARA5"
"PAX3"
"MLKL"
"TNFSF14"
"GRM4"
"MAFF"
"IL1R2"
"SCT"
"CRH"
"ANGPT2"
"KLHL6"
"IFNA2"
"MIA"
"C11orf88"
"S100A8"
"NUPR1"
"LCN10"
"MEF2B"
"PLA1A"
"GPR149"
"GAS1"
"DDIT4"
"C10orf85"
"C6orf141"
"CXCL11"
"ANKRD34B"
"ADM"
"LBX2"
"SMTN"
"ADRA2B"
"DUSP4"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
"NA"
