HSPA6
SLC22A31
CDH15
FAT2
BARHL2
RHBG
C16orf11
GABRA6
LHX1
CD177
HSPA1A
EOMES
FAM216B
SERPINH1
CRTAM
SLPI
HSPA1B
G0S2
PENK
HSPB1
GALNT5
BMP5
DNAJB1
SIX1
SIX2
S100A12
DNASE1L3
MLPH
KRT18
NRK
CDC42BPG
PNMA6A
KCNE4
OGN
KLK1
UPK1B
SLC22A2
CBLN3
NPC1L1
CDKL5
SPTLC3
DAO
FAM20A
NANOS2
BAG3
CBLN1
IGF2
CCDC144A
DSP
FAM167B
RRAD
C19orf33
C7orf61
PCK1
SLC16A12
HTR2C
GPRC5A
SLC5A7
STRA6
SLC1A7
COCH
GPR4
TNFRSF10D
STC1
FAM183A
RIPK4
RGS8
SCARA5
MMP9
LINGO4
PAX3
HS6ST3
TMEM30B
MLKL
TBX15
TNFSF14
C4orf22
KLHDC7A
FRRS1L
GRM4
MAFF
IL1R2
AC002472.13
GADL1
PLEKHG4B
SCT
FAM65C
C7
FCGR2B
CRABP1
CRH
FER1L6
ANGPT2
GJB2
HP
KLHL6
IFNA2
MIA
SLC22A8
C11orf88
C9orf171
RORC
SOCS3
S100A8
NUPR1
LCN10
CXCR4
MEF2B
EN2
PLA1A
SLC47A1
GDF15
CCL2
GPR149
GAS1
FAM92B
DDIT4
C10orf85
MS4A6A
C6orf141
CXCL11
ANKRD34B
ADM
LBX2
WISP1
PTGDR
FOXD2
SLCO4A1
C18orf42
PCP2
SV2C
PPM1E
SLC35D3
SMTN
ANKRD66
ADRA2B
MAS1
TNFRSF11B
DUSP4
LRG1
MAP1LC3C
HTRA3
NLRP4
SAMD11
HSPB9
CTA-299D3.8
SLC7A9
ADGB
MT1F
ANPEP
CNTNAP5
C4orf50
UBE2C
MRAP
MDFI
CLDN7
NPAS4
FREM3
NCR3LG1
TAC1
COL13A1
OSTN
PLEKHM3
ADH1B
EPHA2
FCGR3B
SERPINA5
NFKB2
ITGA10
PAK3
SCN8A
KLHL14
ADAMTS5
NXPH2
TRIP10
GABRE
FOXJ1
IL17REL
MPZL2
RHBDF2
OTOS
PARVG
TCAP
TNFRSF12A
NLRP6
AL031663.2
CELSR1
AL035588.1
ADAM33
GPRIN2
CCDC102A
DOK2
EVC2
S100A4
HLA-DRB5
C22orf34
COL19A1
AKAP5
CD36
CSF1
TBX6
PLCXD2
PKIB
FOXC2
KCNH1
CD37
SERPINF2
ZC3H12A
SLC11A1
OR7C1
C1QA
SIGLEC8
TRIM72
UPK1A
SRPX2
CCL19
CES1
MYLK3
TMC8
KRT19
PPBP
LCN6
PDLIM1
C2CD4B
CSF3
CLEC2B
ADCYAP1
ATAD3C
TMEM150B
CD180
COL1A1
NFE2
HIF3A
RGS7BP
GRM5
CALB1
MMRN1
GJA4
SYTL4
ACTA2
GIPR
ANKRD22
AZGP1
MT1A
FCGR2A
IL4R
SPINK8
ETV4
HMOX1
ECEL1
HIC1
S100P
PCOLCE
SH3TC1
CCDC33
WNT6
VENTX
CYP1B1
GPSM3
FITM1
TLR5
IL18
DLEU2L
TMEM92
CASP4
CLEC4E
LIF
CNPY1
PLIN4
DRD3
MT1G
PPP1R17
ATOH8
SPR
SLC9A7
ANKUB1
MT-ND6
MT2A
CXCL6
DCC
PEAR1
KRT5
STAC
SERTM1
STAB1
PPEF1
CDH7
FCGBP
MMP23B
BNIPL
KLK14
AC145676.2
OR7A5
IRF7
SYNDIG1L
MAB21L1
MARCO
C7orf57
SLC52A3
NUP210L
PCSK9
IL2RG
FXYD5
SLC7A14
PLOD3
PLAUR
RP11-422N16.3
IL1RN
LILRB1
NPR3
FOSL1
SPAG6
SHISA3
COL6A2
C9orf152
SERPINC1
C3AR1
BDNF
DYDC2
TRPC5
MOB4
MMP19
C1QC
C1QB
NOS3
FSTL5
SLC6A12
PCDHAC2
MCHR2
SNTN
NCF4
CCDC60
CAMK4
FGF5
LTA
CREG2
RASAL3
IL32
DSG3
TAL1
TUBAL3
CLDN15
GEM
CEBPD
MS4A14
EMP3
CPZ
RBBP8NL
TCIRG1
MYO1F
BNC2
A4GALT
AL138781.1
NDUFA4L2
HTR2A
ITGA5
SST
CRYAB
MTX3
VSIG4
RAX2
TGFB3
VGF
ANXA2
TFAP2C
