"SIPA1"
"PDZK1IP1"
"HSPA6"
"C16orf11"
"HSPA1A"
"FAM216B"
"SERPINH1"
"SLPI"
"HSPA1B"
"G0S2"
"PENK"
"HSPB1"
"DNAJB1"
"CDC42BPG"
"KCNE4"
"NPC1L1"
"CDKL5"
"FAM20A"
"NANOS2"
"BAG3"
"RRAD"
"PCK1"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"STC1"
"RIPK4"
"PAX3"
"C4orf22"
"KLHDC7A"
"MAFF"
"AC002472.13"
"SCT"
"FAM65C"
"CRABP1"
"CRH"
"FER1L6"
"ANGPT2"
"KLHL6"
"MIA"
"SLC22A8"
"C11orf88"
"SOCS3"
"LCN10"
"CXCR4"
"PLA1A"
"CCL2"
"MS4A6A"
"C6orf141"
"CXCL11"
"LBX2"
"SLCO4A1"
"PCP2"
"SMTN"
"MAP1LC3C"
"HSPB9"
"CTA-299D3.8"
"ADGB"
"MT1F"
"CNTNAP5"
"NPAS4"
"FREM3"
"COL13A1"
"OSTN"
"EPHA2"
"FCGR3B"
"NFKB2"
"FOXJ1"
"IL17REL"
"RHBDF2"
"PARVG"
"TCAP"
"TNFRSF12A"
"ADAM33"
"GPRIN2"
"CCDC102A"
"EVC2"
"HLA-DRB5"
"C22orf34"
"AKAP5"
"CSF1"
"SERPINF2"
"ZC3H12A"
"C1QA"
"TRIM72"
"LCN6"
"ADCYAP1"
"TMEM150B"
"CD180"
"CALB1"
"GJA4"
"MT1A"
"FCGR2A"
"IL4R"
"ETV4"
"HMOX1"
"ECEL1"
"HIC1"
"SH3TC1"
"VENTX"
"GPSM3"
"TLR5"
"TMEM92"
"CASP4"
"LIF"
"PLIN4"
"MT1G"
"ATOH8"
"SPR"
"SLC9A7"
"MT-ND6"
"MT2A"
"PEAR1"
"SERTM1"
"STAB1"
"PPEF1"
"MMP23B"
"BNIPL"
"AC145676.2"
"IRF7"
"MAB21L1"
"SLC52A3"
"IL2RG"
"PLOD3"
"PLAUR"
"LILRB1"
"FOSL1"
"C9orf152"
"SERPINC1"
"DYDC2"
"MOB4"
"MMP19"
"C1QC"
"C1QB"
"NOS3"
"SLC6A12"
"CCDC60"
"CAMK4"
"LTA"
"CREG2"
"RASAL3"
"DSG3"
"TAL1"
"GEM"
"MS4A14"
"RBBP8NL"
"MYO1F"
"A4GALT"
"AL138781.1"
"HTR2A"
"CRYAB"
"MTX3"
"VSIG4"
"RAX2"
"TGFB3"
"TFAP2C"
"EBI3"
"AL590483.1"
"GAD2"
"MKNK2"
"TNFRSF1B"
"PCSK1"
"HIGD1B"
"LAT2"
"C5orf48"
"PTGER3"
"GAREML"
"TEAD2"
"DDIT4L"
"FLT3"
"RUNX3"
"CASP1"
"NEUROD1"
"CARD9"
"CHRNA3"
"LRRC32"
"PRLHR"
"TOR4A"
