"NRK"
"GABRA6"
"CDC42BPG"
"KLK1"
"HTR2C"
"TMEM30B"
"KLHDC7A"
"GRM4"
"SLC22A8"
"MEF2B"
"SLC47A1"
"CXCL11"
"HTRA3"
"ANPEP"
"COL13A1"
"SCN8A"
"S100A4"
"AKAP5"
"KCNH1"
"OR7C1"
"TMC8"
"CALB1"
"ECEL1"
"CYP1B1"
"IL18"
"IRF7"
"PCSK9"
"MCHR2"
"TUBAL3"
"VGF"
"CXCL1"
"ARHGEF5"
"NPBWR1"
"COL25A1"
"CLDN9"
"MID1IP1"
"IL1RAPL2"
"ID3"
"CFD"
"HTR4"
"CHML"
"NEK2"
"UBASH3B"
"EBF2"
"EPHA5"
"FRMPD2"
"SCAI"
"FOXO4"
"ATP12A"
"DNASE1L2"
"PPP1R13L"
"NAPSA"
"VIP"
"CDKN2C"
"SLC4A10"
"CYP24A1"
"NFKBIA"
"CHRM4"
"RAB13"
"NELL1"
"KCNH5"
"HMG20B"
"SLC22A31"
"HSPA1A"
"SERPINH1"
"HSPA1B"
"HSPB1"
"DNAJB1"
"SIX2"
"MLPH"
"KRT18"
"NPC1L1"
"NANOS2"
"BAG3"
"CBLN1"
"RRAD"
"GPRC5A"
"SLC1A7"
"GPR4"
"TNFRSF10D"
"RIPK4"
"PAX3"
"MLKL"
"MAFF"
"IL1R2"
"SCT"
"CRH"
"IFNA2"
"RORC"
"CXCR4"
"EN2"
"PLA1A"
"GAS1"
"ADM"
"FOXD2"
"SMTN"
"TNFRSF11B"
"NLRP4"
"MT1F"
"CLDN7"
"TAC1"
"EPHA2"
"SERPINA5"
"NFKB2"
"ITGA10"
"TRIP10"
"FOXJ1"
"RHBDF2"
"PARVG"
"TNFRSF12A"
"ADAM33"
"DOK2"
"EVC2"
"TBX6"
"SERPINF2"
"C1QA"
"AZGP1"
"PLAUR"
"S100A9"
"HLA-DRB1"
"AMY2A"
"HLA-DRA"
"PLAC8"
"CEL"
"GSDMD"
"TMEM119"
"SLC2A5"
"PTAFR"
"NMU"
"TGIF1"
"APOBR"
"RGS4"
"SLC26A6"
"CD86"
"ITPKB"
"CHGB"
"TGFB1"
"TNFRSF1A"
"SASH3"
"ZNF860"
"OSGIN1"
"VAMP8"
"PRX"
"NEK10"
"FBLN1"
"ZGLP1"
"IP6K3"
"BCL6B"
"FOLR2"
"HK3"
"TNIP2"
"CSF1R"
"STXBP5L"
"CYP21A2"
"GPR158"
"ITGA4"
"FCER1G"
"CCDC151"
"EXPH5"
"CD300A"
"SLC16A7"
"GPR35"
"HIST1H2AC"
"TUBB6"
"EPS8L1"
"SBNO2"
"TYRP1"
"CCL26"
"LCP1"
"SLN"
"SIAH3"
"GZMM"
"NFATC4"
"RCVRN"
"TRIM5"
"NRXN3"
"GPX8"
"CD33"
"TMEM176B"
"TCF7L1"
"VHLL"
"MT1X"
"DNMT3L"
"EGR4"
"SERPINE1"
"APOA1"
"HSPA1L"
"SCNN1G"
"TPD52L1"
"ICAM2"
"SMOX"
"IFITM3"
"CLDN5"
"GPR88"
"HLA-DQA1"
"SLC12A7"
"DOK1"
"SYDE1"
"SMO"
"GPR26"
"ANGPTL4"
"NCALD"
"OSR1"
"PLOD1"
"RAB3C"
"RAB27B"
"GADD45B"
"CD7"
"TSKU"
"S1PR3"
"PCP4"
"ITGAM"
"RASGRP4"
"ALOX15B"
"MFNG"
"MUC1"
"LPIN3"
"HS6ST2"
"LBP"
"PTPRR"
"NAGS"
"AJUBA"
"EEF1G"
"ADORA3"
"EPHX1"
"FKBP4"
"GABRB2"
"CCKAR"
"SLC6A5"
"VIM"
